Error,Message
100,The Perform method is not supported for the [object] object
105,Perform_Unsupported Object Type
106,Perform_Unsupported Object Type
140,Schedule_Validation Error
150,Schedule_Recurrence_Recurrence Range Type Not Specified
151,Schedule_Recurrence_Start DateTime Not Specified
152,Schedule_Recurrence_End DateTime Not Specified
153,Schedule_Recurrence_Occurrences Not Specified
160,Schedule_DailyRecurrence_Daily Recurrence Pattern Type Not Specified
161,Schedule_DailyRecurrence_Day Interval Not Specified
170,Schedule_WeeklyRecurrence_Weekly Recurrence Pattern Type Not Specified
180,Schedule_MonthlyRecurrence_Monthly Recurrence Pattern Type Not Specified
181,Schedule_MonthlyRecurrence_Monthly Interval Not Specified
182,Schedule_MonthlyRecurrence_Scheduled Day Not Specified
183,Schedule_MonthlyRecurrence_Scheduled Week Not Specified
184,Schedule_MonthlyRecurrence_Scheduled Day Of Week Not Specified
190,Schedule_YearlyRecurrence_Yearly Recurrence Pattern Type Not Specified
191,Schedule_YearlyRecurrence_Scheduled Day Not Specified
192,Schedule_YearlyRecurrence_Scheduled Day Of Week Not Specified
193,Schedule_YearlyRecurrence_Scheduled Week Not Specified
194,Schedule_YearlyRecurrence_Scheduled Month Not Specified