AssetTypeID,Name,Inherits
16,ai,8
17,psd,8
18,pdd,8
19,eps,8
20,gif,8
21,jpe,8
22,jpeg,8
23,jpg,8
24,jp2,8
25,jpx,8
26,pict,8
27,pct,8
28,png,8
29,tif,8
30,tiff,8
31,tga,8
32,bmp,8
33,wmf,8
34,vsd,8
35,pnm,8
36,pgm,8
37,pbm,8
38,ppm,8
39,svg,8
40,3fr,9
41,ari,9
42,arw,9
43,bay,9
44,cap,9
45,crw,9
46,cr2,9
47,dcr,9
48,dcs,9
49,dng,9
50,drf,9
51,eip,9
52,erf,9
53,fff,9
54,iiq,9
55,k25,9
56,kdc,9
57,mef,9
58,mos,9
59,mrw,9
60,nef,9
61,nrw,9
62,orf,9
63,pef,9
64,ptx,9
65,pxn,9
66,raf,9
67,raw,9
68,rw2,9
69,rwl,9
70,rwz,9
71,srf,9
72,sr2,9
73,srw,9
74,x3f,9
75,3gp,10
76,3gpp,10
77,3g2,10
78,3gp2,10
79,asf,10
80,avi,10
81,m2ts,10
82,mts,10
83,dif,10
84,dv,10
85,mkv,10
86,mpg,10
87,f4v,10
88,flv,10
89,mjpg,10
90,mjpeg,10
91,mxf,10
92,mpeg,10
93,mp4,10
94,m4v,10
95,mp4v,10
96,mov,10
97,swf,10
98,wmv,10
99,rm,10
100,ogv,10
101,indd,11
102,indt,11
103,incx,11
104,wwcx,11
105,doc,11
106,docx,11
107,dot,11
108,dotx,11
109,mdb,11
110,mpp,11
111,ics,11
112,xls,11
113,xlsx,11
114,xlk,11
115,xlsm,11
116,xlt,11
117,xltm,11
118,csv,11
119,tsv,11
120,tab,11
121,pps,11
122,ppsx,11
123,ppt,11
124,pptx,11
125,pot,11
126,thmx,11
127,pdf,11
128,ps,11
129,qxd,11
130,rtf,11
131,sxc,11
132,sxi,11
133,sxw,11
134,odt,11
135,ods,11
136,ots,11
137,odp,11
138,otp,11
139,epub,11
140,dvi,11
141,key,11
142,keynote,11
143,pez,11
144,aac,12
145,m4a,12
146,au,12
147,aif,12
148,aiff,12
149,aifc,12
150,mp3,12
151,wav,12
152,wma,12
153,midi,12
154,oga,12
155,ogg,12
156,ra,12
157,vox,12
158,voc,12
159,7z,13
160,arj,13
161,bz2,13
162,cab,13
163,gz,13
164,gzip,13
165,iso,13
166,lha,13
167,sit,13
168,tgz,13
169,jar,13
170,rar,13
171,tar,13
172,zip,13
173,gpg,13
174,htm,14
175,html,14
176,xhtml,14
177,xht,14
178,css,14
179,less,14
180,sass,14
181,js,14
182,json,14
183,atom,14
184,rss,14
185,xml,14
186,xsl,14
187,xslt,14
188,md,14
189,markdown,14
190,as,14
191,fla,14
192,eml,14
193,text,15
194,txt,15
195,freeformblock,3
196,textblock,3
197,htmlblock,3
198,textplusimageblock,3
199,imageblock,3
200,abtestblock,3
201,dynamicblock,3
202,stylingblock,3
203,einsteincontentblock,3
205,webpage,1
206,webtemplate,1
207,templatebasedemail,5
208,htmlemail,5
209,textonlyemail,5
210,socialshareblock,3
211,socialfollowblock,3
212,buttonblock,3
213,layoutblock,3
214,defaulttemplate,4
215,smartcaptureblock,0
216,smartcaptureformfieldblock,0
217,smartcapturesubmitoptionsblock,0
218,slotpropertiesblock,0
219,externalcontentblock,0
220,codesnippetblock,0
221,rssfeedblock,0
222,formstylingblock,0
223,referenceblock,0
224,imagecarouselblock,0
225,customblock,0
226,liveimageblock,0
227,livesettingblock,0
228,contentmap,0
230,jsonmessage,1
232,icemailformblock,1